Time,Read/s,Write/s,util%,cpu%
2023-05-01 23:28:50,0.00 , 647.00 , 12.40,20.3
2023-05-01 23:28:52,0.00 , 489.00 , 1.20,13.63
2023-05-01 23:28:54,0.00 , 416.00 , 0.40,12.94
2023-05-01 23:28:56,0.00 , 547.00 , 2.00,12.55
2023-05-01 23:28:58,0.00 , 420.00 , 1.20,11.33
2023-05-01 23:29:00,0.00 , 649.00 , 0.40,12.37
2023-05-01 23:29:02,0.00 , 408.00 , 0.40,12.03
2023-05-01 23:29:04,0.00 , 622.00 , 2.40,11.83
2023-05-01 23:29:06,0.00 , 421.00 , 0.80,11.86
2023-05-01 23:29:08,0.00 , 606.00 , 0.40,12.06
2023-05-01 23:29:10,0.00 , 285.00 , 0.40,12.02
2023-05-01 23:29:12,0.00 , 612.00 , 0.00,12.3
2023-05-01 23:29:14,0.00 , 438.00 , 0.00,11.41
2023-05-01 23:29:16,0.00 , 599.00 , 0.80,12.39
2023-05-01 23:29:18,0.00 , 483.00 , 45.20,14.18
2023-05-01 23:29:20,0.00 , 586.00 , 0.80,12.22
2023-05-01 23:29:22,0.00 , 531.00 , 0.00,11.69
2023-05-01 23:29:24,0.00 , 622.00 , 0.00,13.36
2023-05-01 23:29:26,0.00 , 610.00 , 1.20,12.09
2023-05-01 23:29:28,0.00 , 603.00 , 0.80,11.78
2023-05-01 23:29:30,0.00 , 646.00 , 0.80,11.92
2023-05-01 23:29:32,0.00 , 531.00 , 0.00,11.76
2023-05-01 23:29:34,0.00 , 324.00 , 0.00,12.46
2023-05-01 23:29:36,0.00 , 430.00 , 1.20,12.18
2023-05-01 23:29:38,0.00 , 621.00 , 0.00,11.68
2023-05-01 23:29:40,0.00 , 266.00 , 6.40,12.81
2023-05-01 23:29:42,0.00 , 648.00 , 0.80,12.04
2023-05-01 23:29:44,0.00 , 318.00 , 0.80,11.83
2023-05-01 23:29:46,0.00 , 662.00 , 0.40,12.44
2023-05-01 23:29:48,0.00 , 429.00 , 0.00,10.55
2023-05-01 23:29:50,0.00 , 613.00 , 0.00,11.01
2023-05-01 23:29:52,0.00 , 516.00 , 0.00,11.24
2023-05-01 23:29:54,0.00 , 626.00 , 1.20,11.74
2023-05-01 23:29:56,0.00 , 622.00 , 0.40,11.56
2023-05-01 23:29:58,0.00 , 584.00 , 0.40,11.06
2023-05-01 23:30:00,0.00 , 649.00 , 0.80,11.75
2023-05-01 23:30:02,0.00 , 508.00 , 0.00,10.71
2023-05-01 23:30:04,0.00 , 627.00 , 0.00,11.27
2023-05-01 23:30:06,0.00 , 404.00 , 0.80,10.36
2023-05-01 23:30:08,0.00 , 618.00 , 0.00,10.95
2023-05-01 23:30:10,0.00 , 322.00 , 1.60,10.26
2023-05-01 23:30:12,0.00 , 612.00 , 0.00,10.64
2023-05-01 23:30:14,0.00 , 291.00 , 1.60,10.65
2023-05-01 23:30:17,0.00 , 509.00 , 0.80,11.4
2023-05-01 23:30:19,0.00 , 408.00 , 0.40,10.2
2023-05-01 23:30:21,0.00 , 659.00 , 0.40,10.69
2023-05-01 23:30:23,0.00 , 408.00 , 0.40,11.06
2023-05-01 23:30:25,0.00 , 561.00 , 1.20,11.17
2023-05-01 23:30:27,0.00 , 395.00 , 0.40,11.61
2023-05-01 23:30:29,0.00 , 465.00 , 0.40,11.81
2023-05-01 23:30:31,0.00 , 417.00 , 0.00,11.1
2023-05-01 23:30:33,0.00 , 444.00 , 0.00,11.47
2023-05-01 23:30:35,0.00 , 507.00 , 0.40,11.25
